SiteExpedition;envoi;DateTraitement;Sitedestination;Type anomalie;Sort
CNA;AD369750894MA;30/06/2021 21:52;CENTRE MESSAGERIE AGADIR;INEXISTANT;V-Recu par
Agadir CM;AD369750894MA;29/06/2021 18:23;CENTRE NATIONAL AMANA;INEXISTANT;V-Recu par
Béni Mellal AM;LS201831051MA;05/07/2021 12:52;CENTRE NATIONAL AMANA;INEXISTANT;V-Livre
Guelmim AM;EX003402330MA;05/07/2021 12:40;ZAG;INEXISTANT;V-Livre
Guelmim AM;EX003402343MA;05/07/2021 12:40;ZAG;INEXISTANT;V-Livre
Guelmim AM;EX003402357MA;05/07/2021 12:40;ZAG;INEXISTANT;V-Livre
Kelaa Sraghna AM;46009001720603I;05/07/2021 12:52;EL KELAA DES SRAGHNA CD;INEXISTANT;V-Expedie vers
Kelaa Sraghna AM;LD842346530MA;05/07/2021 12:52;EL KELAA DES SRAGHNA CD;INEXISTANT;V-En cours de distribution par f
Kelaa Sraghna AM;LD861555310MA;05/07/2021 12:52;EL KELAA DES SRAGHNA CD;INEXISTANT;V-Livre
Salé AM;LD836992106MA;05/07/2021 16:09;CENTRE MESSAGERIE RABAT;INEXISTANT;V-Livre
Salé AM;LD836992123MA;05/07/2021 16:09;CENTRE MESSAGERIE RABAT;INEXISTANT;V-En cours de distribution par f
Salé AM;LD836992137MA;05/07/2021 16:09;CENTRE MESSAGERIE RABAT;INEXISTANT;V-Expedie vers
Salé AM;LD839528722MA;05/07/2021 16:09;CENTRE MESSAGERIE RABAT;INEXISTANT;V-En cours de distribution par f
Salé AM;LD842692777MA;05/07/2021 16:09;CENTRE MESSAGERIE RABAT;INEXISTANT;V-Livre
Salé AM;LD839528719MA;05/07/2021 16:16;CENTRE MESSAGERIE RABAT;INEXISTANT;V-Expedie vers
Salé AM;LD844266794MA;05/07/2021 16:39;CENTRE MESSAGERIE RABAT;INEXISTANT;V-Veuillez le recuperer
Taroudant AM;LD856756509MA;05/07/2021 14:30;CENTRE MESSAGERIE AGADIR;INEXISTANT;V-Envoi pris en charge
El Jadida CM;EX003403370MA;05/07/2021 07:00;SIDI BENNOUR;INEXISTANT;V-Livre
El Jadida CM;EX003403383MA;05/07/2021 07:00;SIDI BENNOUR;INEXISTANT;V-Livre
El Jadida CM;EX003403397MA;05/07/2021 07:00;SIDI BENNOUR;INEXISTANT;V-Livre
El Jadida CM;EX003403406MA;05/07/2021 07:00;SIDI BENNOUR;INEXISTANT;V-Livre
El Jadida CM;EX003403410MA;05/07/2021 07:00;SIDI BENNOUR;INEXISTANT;V-Livre
Fès CM;EX003401705MA;05/07/2021 08:57;IMOUZZER KANDAR;INEXISTANT;V-Expedie vers
Fès CM;EX003401714MA;05/07/2021 08:57;IMOUZZER KANDAR;INEXISTANT;V-Expedie vers
Fès CM;EX003401728MA;05/07/2021 08:57;IMOUZZER KANDAR;INEXISTANT;V-Expedie vers
